ID,Name,x,y
1,Abbotsford,144.9987183,-37.80249023
2,Abbotsford Primary School,144.9984741,-37.809021
3,After Care Hospital,144.9849243,-37.80792236
4,Albert Park,144.9556885,-37.83789063
5,Albert Park,144.9591064,-37.84069824
6,Albert Park,144.9542847,-37.84307861
7,Albert Park College,144.9475098,-37.84472656
8,Albert Park High School,144.9475098,-37.84429932
9,Albert Park Lake,144.9669189,-37.84729004
10,Albert Park Playing Fields,144.9669189,-37.84729004
11,Albert Park Primary School,144.9520874,-37.8414917
12,Albert Park Sports Centre,144.9671021,-37.83648682
13,Alexandra Gardens,144.9736938,-37.82049561
14,Alexandra House,144.9711304,-37.81439209
15,Alfred Hospital,144.986084,-37.84570313
16,Alma Park East,144.9960938,-37.8604126
17,Alma Park West,144.9938965,-37.8604126
18,Appleton Dock,144.9221191,-37.81762695
19,Ardoch High School,144.998291,-37.85949707
20,Argyle Square,144.9663086,-37.8026123
21,Baker Island,144.9799194,-37.82849121
22,Balaclava,144.9935303,-37.86932373
23,Barbara Bayer Reserve,144.8997192,-37.81262207
24,Bates Reserve,144.8984985,-37.85150146
25,Batman Avenue Bridge,144.9729004,-37.81652832
26,Batman Park,144.9572754,-37.82177734
27,Bayside Secondary College Williamstown Campus,144.8864746,-37.85791016
28,Bayswater Road Park,144.9251099,-37.79229736
29,Ben Alexander Playground,144.998291,-37.81890869
30,Birrarung Marr,144.9727173,-37.81781006
31,Blessington Street Gardens,144.9832764,-37.86901855
32,Bolte Bridge,144.9326782,-37.82757568
33,Bourke Street Docklands,144.946106,-37.81848145
34,Breakwater Pier,144.909729,-37.86431885
35,Broadway Reserve,144.9556885,-37.84069824
36,Burndap Park,144.8997192,-37.78338623
37,Burnley Tunnel,144.9669189,-37.82598877
38,Caddayes Corner,144.9926758,-37.77618408
39,Calder Highway,144.9619141,-37.82720947
40,Carlton,144.9671021,-37.80010986
41,Carlton Gardens,144.9678955,-37.80200195
42,Carlton Magistrates Court,144.9692993,-37.79760742
43,Carlton North,144.9730835,-37.78582764
44,Carlton North,144.9641113,-37.78790283
45,Carlton North Primary School,144.9741211,-37.79071045
46,Carlton Police Station,144.9692993,-37.79760742
47,Carlton Primary School,144.9691162,-37.8012085
48,Central Pier Docklands,144.9447021,-37.81512451
49,Central Pier Wooden Platform,144.9448853,-37.81488037
50,Charles Grimes Bridge,144.9484863,-37.82318115
51,Charles Grimes Reserve,144.9066772,-37.80480957
52,Chinatown Plaza,144.9692993,-37.8112793
53,Church Street Bridge,144.996521,-37.83428955
54,City Magistrates Court,144.9678955,-37.80761719
55,City Square,144.9677124,-37.81561279
56,City West Police Station,144.9598999,-37.80932617
57,Clifton Hill,144.9957275,-37.78900146
58,Clifton Hill,144.9968872,-37.78930664
59,Collingwood,144.9940796,-37.80450439
60,Collingwood,144.9882813,-37.80187988
61,Collingwood Education Centre,144.9907227,-37.8026123
62,Collingwood Magistrates Court,144.9940796,-37.80340576
63,Collingwood Police Station,144.9940796,-37.80340576
64,Collingwood Primary School,144.9849243,-37.80792236
65,Collingwood Secondary College,144.9863281,-37.79980469
66,Collingwood Technical School,144.9863281,-37.79980469
67,Collins Bridge,145.0006714,-37.80810547
68,Commonwealth Serum Laboratories,144.946106,-37.78009033
69,Como Park,145.003479,-37.83508301
70,Coode Canal,144.9107056,-37.8192749
71,Coode Island,144.909729,-37.8145752
72,Coode Island,144.9108887,-37.8137207
73,Cremorne,144.9929199,-37.82940674
74,Cyril Curtain Reserve,144.9013062,-37.87200928
75,Dallachy Island,144.9810791,-37.82849121
76,Dame Nellie Melba Memorial Park,145.0029297,-37.82189941
77,Darling Gardens,144.9910889,-37.793396
78,David Spurling Reserve,144.887085,-37.79980469
79,Debney Meadows Primary School,144.9354858,-37.78540039
80,Debney Park High School,144.9331055,-37.78222656
81,Debney Park Secondary College,144.9331055,-37.78222656
82,Debneys Park,144.9343262,-37.78338623
83,Dights Falls,144.9998779,-37.79730225
84,Digman Reserve,144.8875122,-37.83679199
85,Docklands,144.93927,-37.81768799
86,Docklands Park,144.9475098,-37.82177734
87,Domain Tunnel,144.9846802,-37.82611084
88,E G Smith Reserve,144.8811035,-37.82958984
89,E J Whitten Oval,144.887085,-37.79980469
90,East Melbourne,144.9813232,-37.81542969
91,East Melbourne Police Station,144.9904785,-37.81707764
92,East Richmond,144.9968872,-37.82611084
93,Edinburgh Gardens,144.9796753,-37.793396
94,Emerald Hill,144.9591064,-37.83538818
95,Emily Mcpherson College,144.9656982,-37.80651855
96,Ercildoune Reserve,144.9019165,-37.80371094
97,Exhibition Building,144.9691162,-37.80480957
98,Exhibition High School,144.9749146,-37.79949951
99,Farnham Street Park,144.9298706,-37.78259277
100,Fawkner Park,144.9785156,-37.83850098
101,Fearon Reserve,144.8950806,-37.86700439
102,Fishermans Bend,144.9107056,-37.8236084
103,Fishermans Bend Terminal Station,144.921875,-37.82849121
104,Fishermens Bend,144.9107056,-37.8236084
105,Fitzroy,144.9793091,-37.80090332
106,Fitzroy Gardens,144.979126,-37.81152344
107,Fitzroy High School,144.9885254,-37.78540039
108,Fitzroy Magistrates Court,144.9805298,-37.80230713
109,Fitzroy North,144.9844971,-37.78448486
110,Fitzroy North Primary School,144.9832764,-37.78540039
111,Fitzroy Police Station,144.9805298,-37.80230713
112,Fitzroy Primary School,144.9818726,-37.79980469
113,Fitzroy Secondary College,144.9885254,-37.78540039
114,Fitzroy Special School,144.9760742,-37.80041504
115,Flagstaff,144.9562988,-37.81182861
116,Flagstaff Gardens,144.9562988,-37.81091309
117,Flemington,144.9130859,-37.7880249
118,Flemington,144.9290771,-37.78448486
119,Flemington Bridge,144.9398804,-37.78820801
120,Flemington High School,144.9179077,-37.78430176
121,Flemington Magistrates Court,144.9321289,-37.78540039
122,Flemington Police Station,144.9321289,-37.78460693
123,Flemington Primary School,144.9334717,-37.78088379
124,Flemington Racecourse,144.9066772,-37.78790283
125,Flemington Racecourse,144.9138794,-37.78869629
126,Flemington Secondary College,144.9179077,-37.78430176
127,Flinders Lane,144.9666748,-37.81652832
128,Flinders Park,144.975708,-37.80291748
129,Flinders Street Railway Station,144.9666748,-37.81848145
130,Flinders Street West End,144.9622803,-37.81890869
131,Footscray,144.9020996,-37.80090332
132,Footscray,144.8994751,-37.79840088
133,Footscray City Primary School,144.8999023,-37.80541992
134,Footscray City Secondary College,144.8933105,-37.79901123
135,Footscray Girls High School,144.8969116,-37.79260254
136,Footscray Girls Secondary College,144.8969116,-37.79260254
137,Footscray Goods,144.9028931,-37.81622314
138,Footscray Institute Of Technology,144.8991089,-37.79290771
139,Footscray Magistrates Court,144.901123,-37.80371094
140,Footscray Park,144.9000854,-37.79199219
141,Footscray Police Station,144.901123,-37.80371094
142,Footscray Primary School,144.8999023,-37.80541992
143,Footscray Primary School,144.8933105,-37.79821777
144,Footscray Technical College,144.8999023,-37.80450439
145,Footscray Technical School,144.8933105,-37.79901123
146,Fountain Island,144.9810791,-37.82849121
147,Garden City,144.9193115,-37.83929443
148,Garden City,144.9215088,-37.83728027
149,Gary Greelish Oval,144.8997192,-37.8137207
150,Gellibrand Pier,144.909729,-37.86431885
151,George Griffin Reserve,144.8936768,-37.81311035
152,Gloucester Reserve,144.8869019,-37.8637085
153,Goods Yard Place,144.8898926,-37.81622314
154,Government House,144.9777222,-37.82757568
155,Graham,144.9375,-37.83679199
156,Graham Goods,144.9375,-37.83679199
157,Graham Street Primary School,144.9329224,-37.83569336
158,Greenwich Reserve,144.8950806,-37.84588623
159,Guerard Island,144.9832764,-37.82849121
160,Hanmer Reserve,144.8997192,-37.81011963
161,Harbour Lights Landing,144.9437256,-37.81860352
162,Harbourside Docklands Tram Stop,144.946106,-37.81829834
163,Harris Reserve,144.890686,-37.80792236
164,Hawksburn,145.0006714,-37.84790039
165,Hawksburn,145.0020752,-37.84509277
166,Hawksburn Primary School,144.9984741,-37.84680176
167,Henry Turner Memorial Reserve,144.9000854,-37.79199219
168,Herring Island,145.0056763,-37.83349609
169,Hobsons Bay Secondary College,144.9475098,-37.84429932
170,Hoddle Bridge,144.987915,-37.82971191
171,Hopetoun Bridge,144.9157104,-37.8012085
172,Hume Highway,144.9484863,-37.82489014
173,Isaac Little Reserve,144.9243164,-37.78210449
174,J H Boyd Domestic College,144.9614868,-37.82537842
175,J J Holland Park,144.9249268,-37.79681396
176,J L Murphy Reserve,144.9296875,-37.83319092
177,Jim Stynes Bridge,144.9483032,-37.82299805
178,John Cribbes Footbridge,144.9760742,-37.87902832
179,John Morley Reserve,144.9028931,-37.85870361
180,Johnston Street Bridge,145.0032959,-37.80090332
181,Jolimont,144.9846802,-37.815979
182,Jolimont,144.9846802,-37.81671143
183,Keith Anderson Reserve,144.8984985,-37.81958008
184,Kensington,144.9301147,-37.79119873
185,Kensington,144.9307251,-37.793396
186,Kensington,144.925293,-37.79589844
187,Kensington Primary School,144.9274902,-37.79229736
188,Kevin And Sandra Longstaff Field,144.9296875,-37.83288574
189,Kings Bridge,144.958313,-37.82208252
190,Kings Domain,144.9672852,-37.82012939
191,Koonda Lat Bridge,144.9910889,-37.7800293
192,Lagoon Reserve,144.9442749,-37.83789063
193,Leo Hoffman Reserve,144.8782959,-37.84008789
194,Les Erdi Plaza,144.9639282,-37.81939697
195,Lincoln Square,144.9633179,-37.80200195
196,Long Island,144.9799194,-37.82757568
197,Ludwig Stamer Reserve,144.9647217,-37.83618164
198,Luna Park,144.9777222,-37.86810303
199,Luna Park Tram Stop,144.977478,-37.86688232
200,Lynchs Bridge,144.9160767,-37.79589844
201,M C Moran Reserve,144.9763184,-37.8770752
202,Macarthur Square,144.9719238,-37.79821777
203,Macaulay,144.9365234,-37.79431152
204,Macrobertson Girls High School,144.9727173,-37.83648682
205,Mayors Park,144.991272,-37.78460693
206,Melbourne,144.9744873,-37.84350586
207,Melbourne,144.9741211,-37.82427979
208,Melbourne Central Station,144.9642944,-37.80932617
209,Melbourne Central Station Tram Stop,144.9639282,-37.80938721
210,Melbourne City,144.9451294,-37.81060791
211,Melbourne College Of Decoration,144.9541016,-37.81262207
212,Melbourne College Of Hairdressing,144.9528809,-37.81262207
213,Melbourne College Of Printing,144.9476929,-37.8026123
214,Melbourne Cricket Ground,144.9846802,-37.8203125
215,Melbourne Flinders Land,144.9666748,-37.81652832
216,Melbourne General Cemetery,144.9569092,-37.79290771
217,Melbourne High School,144.9954834,-37.83599854
218,Melbourne North,144.9793091,-37.79949951
219,Melbourne Russell Street,144.9678955,-37.80761719
220,Melbourne South,144.9569092,-37.83618164
221,Melbourne Spring Street,144.9735107,-37.8104248
222,Melbourne University,144.9622803,-37.79760742
223,Mercy Hospital,144.9849243,-37.81152344
224,Merri,144.9938965,-37.77728271
225,Merri,144.991272,-37.77819824
226,Merri Creek Primary School,144.987915,-37.78039551
227,Merri Park,144.9915161,-37.7756958
228,Merri Primary School,144.987915,-37.78039551
229,Michael Mccoy Reserve,144.8978882,-37.79199219
230,Middle Footscray,144.8919067,-37.8026123
231,Middle Park,144.9625244,-37.85058594
232,Middle Park,144.9656982,-37.84899902
233,Middle Park Primary School,144.9577026,-37.84790039
234,Milparinka Special Developmental School,144.9584961,-37.84710693
235,Montague,144.9490967,-37.83068848
236,Montague,144.9500732,-37.83068848
237,Montague Primary School,144.9500732,-37.83068848
238,Montague Special School,144.9500732,-37.83068848
239,Morell Bridge,144.9849243,-37.82788086
240,Mount Alexander 7-12 College,144.9331055,-37.78222656
241,Murchison Square,144.9733276,-37.80010986
242,Museum Station,144.9642944,-37.80932617
243,Nelson Pier,144.909729,-37.86431885
244,Newmarket,144.9298706,-37.78710938
245,Newport,144.8826904,-37.84552002
246,Newport,144.8840942,-37.84210205
247,Newport Lakes Primary School,144.878479,-37.83850098
248,Newport Park,144.8942871,-37.84368896
249,Newport Police Station,144.8862915,-37.84399414
250,Newport Primary School,144.878479,-37.83850098
251,Newport Railway Workshops,144.8815308,-37.85009766
252,Newquay Docklands,144.9411011,-37.81347656
253,North Carlton,144.9741211,-37.78710938
254,North Fitzroy,144.9821167,-37.78619385
255,North Melbourne,144.9418945,-37.80700684
256,North Melbourne,144.9456787,-37.79937744
257,North Melbourne,144.9395142,-37.79199219
258,North Melbourne Primary School,144.9520874,-37.79821777
259,North Port,144.9432983,-37.83319092
260,North Richmond,144.9926758,-37.81060791
261,North Richmond,144.9926758,-37.81152344
262,North Williamstown,144.8892822,-37.85681152
263,Northern Melbourne Institute Of Tafe Collingwood,144.9863281,-37.79980469
264,Nymphaea Lily Lake,144.9807129,-37.83209229
265,Olives Corner,144.9420776,-37.83868408
266,Olympic Park,144.9827271,-37.82501221
267,Orrong Park,145.012085,-37.84790039
268,Parkville,144.9492798,-37.78570557
269,Parliament,144.9735107,-37.8112793
270,Parliament Gardens,144.973877,-37.80950928
271,Peanut Farm Reserve,144.9785156,-37.87261963
272,Perce White Reserve,144.9146729,-37.84088135
273,Peter Maccullum Hospital,144.9572754,-37.81182861
274,Point Gellibrand Girls High School,144.8847046,-37.86450195
275,Point Gellibrand Girls Secondary College,144.8847046,-37.86450195
276,Point Ormond,144.9760742,-37.88140869
277,Port Melbourne,144.9329224,-37.84039307
278,Port Melbourne,144.9331055,-37.83410645
279,Port Melbourne,144.9107056,-37.82897949
280,Port Melbourne Heliport,144.9083252,-37.82611084
281,Port Melbourne Magistrates Court,144.9406738,-37.84039307
282,Port Melbourne Police Station,144.9406738,-37.84039307
283,Port Melbourne Primary School,144.9329224,-37.83569336
284,Port Melbourne Primary School,144.9329224,-37.83477783
285,Port Phillip City,144.9724731,-37.85180664
286,Port Phillip Specialist School,144.9584961,-37.84710693
287,Prahran,144.9893188,-37.8493042
288,Prahran,145.0025024,-37.85150146
289,Prahran College Of Technology,144.9926758,-37.85211182
290,Prahran High School,145.0114746,-37.84979248
291,Prahran Magistrates Court,144.9996948,-37.84790039
292,Prahran Market,144.9907227,-37.84759521
293,Prahran Police Station,144.9996948,-37.84790039
294,Prahran Primary School,144.9882813,-37.85040283
295,Prahran Secondary College,145.0114746,-37.84979248
296,Prince Henrys Hospital,144.9707031,-37.82568359
297,Princes Bridge,144.968689,-37.81762695
298,Princes Bridge,144.9685059,-37.8192749
299,Princes Highway,144.9691162,-37.81988525
300,Princes Hill,144.9661255,-37.78192139
301,Princes Hill High School,144.9650879,-37.78320313
302,Princes Hill Primary School,144.9685059,-37.78070068
303,Princes Park,144.9620972,-37.7822876
304,Princess Hill,144.9663086,-37.78039551
305,Princess Hill High School,144.9642944,-37.78369141
306,Princess Hill Secondary College,144.9642944,-37.78369141
307,Quarry Park,144.8972778,-37.78900146
308,Queen Victoria Gardens,144.9719238,-37.82141113
309,Queens Bridge,144.9614868,-37.82067871
310,Railway Canal,144.9334717,-37.81958008
311,Ramsden Reserve,145.0025024,-37.79370117
312,Raoul Wallenberg Reflective Garden,144.9882813,-37.86791992
313,Rats Of Tobruk Reserve,144.9522705,-37.84307861
314,Richmond,144.9901123,-37.82427979
315,Richmond,145.0029297,-37.82208252
316,Richmond Magistrates Court,145.0004883,-37.81817627
317,Richmond Police Station,145.0004883,-37.81817627
318,Richmond Primary School,144.9990845,-37.82971191
319,Richmond Technical College,145.0004883,-37.81707764
320,Richmond West Primary School,144.9960938,-37.81347656
321,Ridoutt Island,144.9810791,-37.82958984
322,River Esplanade,144.9456787,-37.82427979
323,Robert Heatley Reserve,144.8922729,-37.78900146
324,Rolling Mill Green,144.8934937,-37.78460693
325,Rotary Park,144.9049072,-37.86682129
326,Royal Agricultural Showgrounds,144.9119263,-37.78320313
327,Royal Botanic Gardens,144.9785156,-37.82928467
328,Royal Childrens Hospital,144.9569092,-37.79931641
329,Royal Childrens Hospital School,144.9512939,-37.79449463
330,Royal Dental Hospital,144.9569092,-37.80010986
331,Royal Melbourne Hospital,144.9569092,-37.79931641
332,Royal Melbourne Institute Of Technology,144.9642944,-37.80761719
333,Royal Park,144.9456787,-37.78369141
334,Royal Park,144.9526978,-37.78118896
335,Royal Park Police Station,144.958313,-37.79040527
336,Royal Victorian Eye And Ear Hospital,144.9779053,-37.80877686
337,Royal Womens Hospital,144.9647217,-37.80041504
338,Rushall,144.9924927,-37.78289795
339,Rushall,144.9890747,-37.78259277
340,Russell Street,144.9678955,-37.80761719
341,Saint Kilda,144.9821167,-37.8637085
342,Saint Kilda,144.9779053,-37.85900879
343,Saint Kilda Alternative High School,144.9813232,-37.85821533
344,Saint Kilda Botanical Gardens,144.984314,-37.87011719
345,Saint Kilda East,144.9968872,-37.8684082
346,Saint Kilda Magistrates Court,144.991272,-37.86932373
347,Saint Kilda Park Primary School,144.9779053,-37.85821533
348,Saint Kilda Police Station,144.991272,-37.8684082
349,Saint Kilda Primary School,144.9888916,-37.86932373
350,Saint Kilda Road Police Station,144.9741211,-37.83477783
351,Saint Nicholas Hospital Special School,144.9692993,-37.80328369
352,Saint Vincent Gardens,144.9556885,-37.83789063
353,Saint Vincents Hospital,144.975708,-37.80688477
354,Saint Vincents Plaza,144.9763184,-37.80810547
355,Samuel Kohry Reserve,144.8828735,-37.83850098
356,Sandridge Beach,144.9174805,-37.83929443
357,Sayce Island,144.9810791,-37.8303833
358,School For The Blind,144.9827271,-37.85009766
359,Seafarers Bridge,144.9520874,-37.82330322
360,Seddon,144.8963013,-37.809021
361,Seddon,144.8922729,-37.80639648
362,Senator Pat Kennelly Amphitheatre,144.9639282,-37.84362793
363,Senator Pat Kennelly Ampthitheatre,144.9639282,-37.84362793
364,Shepherd Bridge,144.9108887,-37.80560303
365,Showgrounds,144.9141235,-37.78320313
366,Shrine Of Rememberance,144.9672852,-37.82928467
367,Sk8Er Extreme Skate Park,144.883728,-37.81542969
368,South Kensington,144.9249268,-37.79949951
369,South Melbourne,144.9561157,-37.83398438
370,South Melbourne,144.9556885,-37.83349609
371,South Melbourne Magistrates Court,144.9591064,-37.83459473
372,South Melbourne Market,144.9569092,-37.83258057
373,South Melbourne Police Station,144.9591064,-37.83538818
374,South Melbourne Primary School,144.9671021,-37.83459473
375,South Melbourne Special Developmental School,144.9584961,-37.84710693
376,South Melbourne Technical School,144.960083,-37.84259033
377,South Wharf,144.9525146,-37.82519531
378,South Yarra,144.9830933,-37.83770752
379,South Yarra,144.9957275,-37.84008789
380,South Yarra,144.9921265,-37.83868408
381,South Yarra Primary School,144.9863281,-37.84118652
382,Southbank,144.9605103,-37.82501221
383,Southbank,144.9542847,-37.82897949
384,Southern Cross,144.9514771,-37.81890869
385,Spencer Square,144.9541016,-37.81890869
386,Spencer Street,144.9514771,-37.81890869
387,Spencer Street Bridge,144.9562988,-37.82318115
388,Spotswood,144.885498,-37.8303833
389,Spotswood,144.8862915,-37.83007813
390,Spotswood Primary School,144.8820801,-37.8303833
391,Spring St,144.9735107,-37.8104248
392,St Kilda,144.9821167,-37.8637085
393,St Kilda,144.9818726,-37.86419678
394,St Kilda Alternative High School,144.9813232,-37.85821533
395,St Kilda Botanical Gardens,144.984314,-37.87011719
396,St Kilda East,145.0009155,-37.86309814
397,St Kilda Magistrates Court,144.991272,-37.86932373
398,St Kilda Park Primary School,144.9779053,-37.85821533
399,St Kilda Police Station,144.991272,-37.8684082
400,St Kilda Primary School,144.9888916,-37.86932373
401,St Kilda Primary School,144.9888916,-37.86932373
402,St Kilda Railway Station,144.9779053,-37.85900879
403,St Kilda West,144.9713135,-37.85839844
404,St Vincents Hospital,144.975708,-37.80688477
405,St Vincents Plaza,144.9763184,-37.80810547
406,Stock Bridge,144.9182739,-37.79681396
407,Stonnington Primary School,144.9960938,-37.85699463
408,Swan Street Bridge,144.977478,-37.82348633
409,Swanson Dock,144.9121094,-37.81561279
410,Tannery Reserve,144.9091187,-37.8012085
411,Telstra Dome,144.9468994,-37.81420898
412,The Goods Shed,144.9512939,-37.82141113
413,The Goods Shed Tram Stop,144.9511108,-37.82159424
414,Toorak Central School,145.0098877,-37.84509277
415,Toorak Primary School,145.0098877,-37.84509277
416,Town Hall Plaza,144.9666748,-37.8137207
417,Travancore,144.9351196,-37.78198242
418,Travancore School,144.93573,-37.78088379
419,Travancore Special School,144.93573,-37.78088379
420,Treasury Gardens,144.979126,-37.81152344
421,University High School,144.9569092,-37.79730225
422,University Square,144.9606934,-37.80181885
423,Veterans Reserve,144.8811035,-37.82757568
424,Victoria Dock,144.93573,-37.81781006
425,Victoria Dock Police Station,144.9334717,-37.81512451
426,Victoria Harbour,144.93573,-37.81781006
427,Victoria Market,144.9564819,-37.80651855
428,Victoria Park,144.9943237,-37.79901123
429,Victoria Park,144.9907227,-37.8026123
430,Victoria Park,144.9907227,-37.8026123
431,Victoria Park Post Primary School,144.996521,-37.79730225
432,Victoria Park Primary School,144.996521,-37.79730225
433,Victorian College For The Deaf,144.9827271,-37.84979248
434,Victorian College Of The Arts School,144.9697266,-37.82489014
435,Victorian College Of The Arts Secondary School,144.9697266,-37.82489014
436,Victorian Railways Technical College,144.880127,-37.85211182
437,Victorian School For Deaf Children,144.9827271,-37.84979248
438,Victory Park,144.9119263,-37.78320313
439,Walter Street Reserve,144.9119263,-37.78320313
440,Waterfront City Docklands,144.9384766,-37.81420898
441,Webb Dock,144.9069214,-37.84179688
442,West Footscray,144.8850708,-37.80151367
443,West Melbourne,144.9238892,-37.80877686
444,West Melbourne Market,144.9224854,-37.8104248
445,West Melbourne Primary School,144.9511108,-37.80651855
446,West Melbourne Terminal Station,144.934082,-37.80151367
447,West Richmond,144.9915161,-37.81420898
448,West Richmond,144.9938965,-37.81512451
449,Western Autistic School,144.9227295,-37.78289795
450,Western General Hospital,144.8864746,-37.79180908
451,Western Highway,144.9572754,-37.8012085
452,Westgarth,144.9924927,-37.78179932
453,Westgate Bridge,144.8978882,-37.82971191
454,Westgate Park,144.9105225,-37.83178711
455,William Angliss College,144.9528809,-37.8137207
456,William Barak Bridge,144.9743042,-37.81848145
457,William Cooper Bridge,144.9019165,-37.80187988
458,Williamstown,144.9049072,-37.86761475
459,Williamstown,144.8853149,-37.86108398
460,Williamstown Beach,144.8947144,-37.86401367
461,Williamstown High School,144.8948975,-37.86199951
462,Williamstown High School Bayview Campus,144.8847046,-37.86450195
463,Williamstown High School Pasco Campus,144.8948975,-37.86199951
464,Williamstown Hospital,144.8912964,-37.86291504
465,Williamstown Magistrates Court,144.9049072,-37.8651123
466,Williamstown North Primary School,144.8914795,-37.85571289
467,Williamstown North Secondary College,144.8864746,-37.85791016
468,Williamstown Pier,144.9105225,-37.86590576
469,Williamstown Police Station,144.9049072,-37.86431885
470,Williamstown Primary School,144.9005127,-37.86401367
471,Williamstown Rifle Range,144.8776855,-37.8637085
472,Williamstown Timeball Tower,144.9129028,-37.86621094
473,Williamstown Timeball Tower Trig,144.9129028,-37.86621094
474,Windsor,144.9830933,-37.85229492
475,Windsor,144.9929199,-37.85430908
476,Windsor,144.9915161,-37.85571289
477,Windsor Primary School,144.9970703,-37.85760498
478,Windsor Technical School,144.9960938,-37.85681152
479,Yarra City,144.9962769,-37.80700684
480,Yarra Park,144.9788818,-37.8203125
481,Yarra Park Primary School,144.9901123,-37.81781006
482,Yarraville,144.8823242,-37.81799316
483,Yarraville,144.8905029,-37.81512451
484,Yarraville Gardens,144.8997192,-37.81011963
485,Yarraville Police Station,144.8927002,-37.81622314
486,Yarraville Primary School,144.8934937,-37.82141113
487,Yarraville Special Developmental School,144.883728,-37.81781006
488,Yarraville Terminal Station,144.8876953,-37.82788086
489,Yarraville West Primary School,144.8834839,-37.81781006
490,Zoological Gardens,144.9456787,-37.78369141
491,Melbourne,144.9672852,-37.81542969
492,Point Gellibrand,144.9035034,-37.87310791
493,Princes Pier,144.9213257,-37.84649658
494,Saint Kilda Baths,144.9707031,-37.86541748
495,Saint Kilda Marina,144.9752808,-37.87432861
496,Saint Kilda Pier,144.9694824,-37.86437988
497,St Kilda Baths,144.9707031,-37.86541748
498,St Kilda Marina,144.9752808,-37.87432861
499,St Kilda Pier,144.9694824,-37.86437988
500,Station Pier,144.9326782,-37.84649658
